Hour,Primary Volume (Gallons Storage Temp),Primary Generation (Gallons Storage Temp),HW Demand (Gallons Storage Temp),HW Demand (Gallons Supply Temp),Recirculation Loss to Primary System (Gallons Supply Temp),Theoretical HW Generation (Gallons Supply Temp),Primary Run Time (Min),Input Capacity (kW),Output Capacity (kW),Primary COP,ON Setpoint Tank Volume (%),ON Setpoint Temperature (F),Actual Temperature at ON Setpoint (F),OFF Setpoint Tank Volume (%),OFF Setpoint Temperature (F),Actual Temperature at OFF Setpoint (F),Temperature at 100% Tank Volume (F),Temperature at 75% Tank Volume (F),Temperature at 50% Tank Volume (F),Temperature at 25% Tank Volume (F),Temperature at 0% Tank Volume (F),OAT (F),C02 Emissions (kG)
1033.0,2025.789,0,181.35362375024258,195.374,104.40141078663973,809.48,0.0,54.00805,115.32605625000001,2.135349383101223,0.4,122,143.07366178331068,0.4,160,143.07366178331068,160,160,160,101.07366178331071,63.806,51.8,0.0
1034.0,1933.081,0,92.70780432453202,48.844,104.40141078663973,808.216,0.0,55.16005,115.14605624999999,2.087490063007557,0.4,122,134.4209333796877,0.4,160,134.4209333796877,160,160,160,92.42093337968774,63.806,50.0,0.0
1035.0,1825.599,0,107.48210849046919,73.265,104.40141078663973,806.953,0.0,56.31205,114.96605625,2.0415889005994274,0.4,122,124.38926992057726,0.4,160,124.38926992057726,160,160,152.38926992057725,82.38926992057726,63.806,48.2,0.0
1036.0,2052.753,290.313,63.15919599265768,0.0,104.40141078663973,806.953,35.681146497885024,56.31205,114.96605625,2.0415889005994274,0.4,122,145.59026143113186,0.4,160,145.59026143113186,160,160,160,103.59026143113188,63.806,48.2,12.217416480110977
1037.0,2207.143,232.324,77.93350015859485,24.422,104.40141078663973,806.827,28.558411678674975,56.427249999999994,114.94805625000001,2.037101865676602,0.4,122,160.0,0.4,160,160.0,160,160,160,118.00000000000001,63.806,48.02,10.157169684760385
1038.0,2025.789,0,181.35362375024258,195.374,104.40141078663973,805.69,0.0,57.46405,114.78605625000002,1.9975281284559654,0.4,122,143.07366178331068,0.4,160,143.07366178331068,160,160,160,101.07366178331071,63.806,46.4,0.0
1039.0,1805.165,256.215,476.8396959291611,683.809,104.40141078663973,804.426,31.58929065844914,58.61605,114.60605625,1.9551992372396296,0.4,122,122.48204858258703,0.4,160,122.48204858258703,160,160,150.48204858258703,80.48204858258704,63.806,44.6,11.8555015372175
1040.0,1859.298,486.65,432.5167834313496,610.544,104.40141078663973,804.426,60.0,58.61605,114.60605625,1.9551992372396296,0.4,122,127.53444616509776,0.4,160,127.53444616509776,160,160,155.5344461650978,85.53444616509778,63.806,44.6,25.034266485638852
1041.0,1693.345,488.178,654.1313403504946,976.87,104.40141078663973,806.953,60.0,56.31205,114.96605625,2.0415889005994274,0.4,122,112.04549350476321,0.4,160,112.04549350476321,160,160,140.04549350476321,70.04549350476321,63.806,48.2,18.59915433253245
1042.0,1780.083,489.707,402.9681806693877,561.7,104.40141078663973,809.48,60.0,54.00805,115.32605625000001,2.135349383101223,0.4,122,120.14111081760691,0.4,160,120.14111081760691,160,160,148.1411108176069,78.14111081760693,63.806,51.8,13.68215986129825
1043.0,1928.717,492.505,343.87096400563905,464.013,104.40141078663973,814.105,60.0,47.2280025,115.98494499999998,2.4558511658417053,0.4,122,134.0135989031515,0.4,160,134.0135989031515,160,160,160,92.01359890315148,63.806,62.96,8.405263855594095
1044.0,2207.143,489.328,210.9022320821169,244.218,104.40141078663973,812.007,59.76699885716343,51.70405000000001,115.68605625000001,2.237466044729571,0.4,122,160.0,0.4,160,160.0,160,160,160,118.00000000000001,63.806,55.4,6.4390010185755
1045.0,2084.886,0,122.25641265640635,97.687,104.40141078663973,813.27,0.0,50.55205,115.86605625,2.2920149875227613,0.4,122,148.58940148540205,0.4,160,148.58940148540205,160,160,160,106.58940148540208,63.806,57.2,0.0
1046.0,2006.953,0,77.93350015859485,24.422,104.40141078663973,814.294,0.0,49.44778125,116.0119625,2.3461510216901793,0.4,122,141.31560813726657,0.4,160,141.31560813726657,160,160,160,99.31560813726657,63.806,59.0,0.0
1047.0,1855.148,0,151.80501541836824,146.531,104.40141078663973,814.294,0.0,48.20005,116.0119625,2.4068846920283278,0.4,122,127.1471400315522,0.4,160,127.1471400315522,160,160,155.14714003155217,85.1471400315522,63.806,60.8,0.0
1048.0,2018.045,329.476,166.57931958430544,170.952,104.40141078663973,814.155,40.13633539369425,47.350402499999994,115.992145,2.4496548894172547,0.4,122,142.35083568746933,0.4,160,142.35083568746933,160,160,160,100.35083568746936,63.806,62.6,7.082228800773921
1049.0,2207.143,340.903,151.80501541836824,146.531,104.40141078663973,814.231,41.524508755349316,47.53400249999999,116.00294499999997,2.440420307547213,0.4,122,160.0,0.4,160,160.0,160,160,160,118.00000000000001,63.806,62.06,12.029317350370894
